user_id,domain,item_id,rating
u1,movies,m1,5
u1,movies,m2,4
u1,movies,m4,5
u1,music,mu2,5
u2,movies,m3,5
u2,movies,m10,4
u2,music,mu9,5
u2,products,p3,4
u3,movies,m5,5
u3,movies,m7,4
u3,music,mu1,4
u3,products,p1,5
u4,movies,m8,5
u4,movies,m9,4
u4,products,p5,5
u4,products,p10,4
u5,movies,m2,5
u5,movies,m1,4
u5,music,mu4,5
u5,products,p2,5
u6,music,mu5,5
u6,music,mu10,4
u6,products,p6,5
u6,products,p4,4
u7,movies,m6,5
u7,movies,m10,4
u7,music,mu6,4
u7,products,p4,5
u8,movies,m7,5
u8,movies,m5,4
u8,music,mu8,5
u8,products,p7,4
u9,movies,m8,4
u9,movies,m1,5
u9,music,mu7,5
u9,products,p9,5
u10,movies,m3,4
u10,movies,m2,5
u10,music,mu3,5
u10,products,p8,5
